,User,Tweet
46,MeiWong93252941,"@nswpolice March 1942 the end of First Opium War, Treaty of Nanking was signed in August 1842 Qing gov of China ceded Hong Kong=India O result for nearly 100 years.India's armies unite to sacrifice living to its ancestors and god. 
In First battle of Tonggu同古👉same ancient times"
47,NotteBrokenDex,The God of War from the miasma eating away at him. While his love for his combat expertise. He walks the path of vengeance alongside his angel Michael.
48,Gay_God_of_War,@FrxmShadxws hmm movies 👀
49,JankAssPodcast,"The Jank vs. God of War 3 
Pandora! I care now!

https://t.co/jncENBQlFa"
50,baseballbalker,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
51,G4m3rR3up,RT @SindyJ_B: God Of War - PC https://t.co/JZyMvXPRJA
52,G4m3rR3up,RT @DotPone: God of War https://t.co/b5tL4TqDSf
53,1_HelloToAll,@miyuki_frost @SulivenGAMING C'est un bon jeu d'action à la god of war. J'ai juste fait le premier sur ma PS3 et j'avais bien apprécié.
54,freakhand06,@PlayStation_BR Só platinei dois jogos até hj: Batman Arkham Asylum e God of War 3
55,mesh_sparta,RT @BlueGamingSA: التحميل المسبق للعبة God of War Ragnarok يبدأ بتاريخ 2 نوفمبر [ قبل صدور اللعبة بأسبوع ]. من المتوقع أيضًا انطلاق مراجعات…
56,KirbyZeii,"@Rastallanfayaa @ELMATHARI03 @ToN2s95 @JulienChieze Je parlais pas de ressenti personnel mais de faits artistique, c’est triste à dire mais si god of war a autant de fans C’est en partie pcq c’est un jeu mainstream et non pour le qualitatif."
57,Tushar336788881,"RT @ChinarcorpsIA: “𝐁𝐥𝐨𝐨𝐝, 𝐆𝐮𝐭𝐬 &amp; 𝐆𝐥𝐨𝐫𝐲”

A toast to all the Gunners, to their fighting spirit &amp; their Guns.
Saluting the “God of War”.
Wis…"
58,brandondavis104,@NVIDIAGeForce @Palit_Global God of war
59,G4m3rR3up,RT @_rudeboy808_: God of War | Kara https://t.co/uKXMLOPQHl
60,edfranks,"Bravo. Lyman must fall soon, please God!? If so, then the whole line will crumble in 24 hours all the way back to the itty-bitty chicklet state of LNR that existed before the war started, or maybe even all the way to Russian border?! https://t.co/epASGd4VKu"
61,SnarkyLord,RT @DotPone: God of War https://t.co/b5tL4TqDSf
62,YVNGKVNG2017,"RT @ossamaphotomode: 43 Days Left for 
God of War Ragnarok https://t.co/1fP0DzF1Xs"
63,AlexPol1547116,@JAAY_ROCK_ Laughs in God Of War Ragnarok 🤣
64,EspeciallyNo,@DonutOperator Try God of War if you can. Or Assassins Creed
65,AseanDawn,"RT @DigiSliceMedia: 🎮God of War Ragnarok PlayStation 5 DualSense controller is available for preorder on Amazon, GameStop, and Best Buy but…"
66,BechardClem,"I hope this country was not stupid enough to blow up the north strum 2 pipeline? I can’t see why Putin would do it. Also those pipe Lines are pretty far down , 200 feet or so. They picked up two explosions also. I pray to God this does not keep escalating into a war of wars!"
67,RJcosmic,"RT @ohthatnatalie: HELLO IS THIS THING ON!?

i'm back from my Very Busy Week ™️ and it's finally time for catch ups and video games!!

come…"
68,Gay_God_of_War,"RT @seasicksilver: Mirror Mirror 
#RWBY #RWBYfanart https://t.co/4dDh5laJ5T"
69,watchingwaiti11,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
70,MaterDel,"／ I am a BIG God of War fan, it's other games have always been goated to me."
71,nicksmemesquad2,@KaptainKuba do u think Sleipnir the eight-legged horse that run through all the worlds. Will be in god of war ragnorok https://t.co/Kvbi9v2Kme
72,Religious4Pizza,"God of War Ragnarok and Sony are breathing a sigh of relief after Skull and Bones got delayed.
Now they'll be able to sell 20,000,000 copies instead of 19,999,990 copies. Congrats, you got lucky!
But as one of the 10 fans of Skull and Bones, I am devastated."
73,Elvarsi,"@Ti_Cail50 @AngryJoeShow God of war was one day away from release of skull and bones, probably just that"
74,crowkids,"@mowochi sy tenderly wiping rainwater from lqg's cheeks and smiling reassuringly at him in the flickering light of their fire talisman and the whole time he's thinking ""this is such a crock of shit why would the bai zhan war god be scared of lightning, AIRPLANE"""
75,sarigualweyenti,"RT @RealHauleGluck: I am a plain ordinary human in the service of other humans: Jesus Christ called us to ‘serve’, you cannot serve both Go…"
76,wellingt1211,@fernanda_mineto Não espera god of war
77,SallynJack96,RT @HowLongToBeat: It takes on average 20.5 hours to beat God of War (51 hours for completionists). https://t.co/9xS9hwImnn https://t.co/Yq…
78,YourAntiChri5t,"So while I liked God of War. Just in my opinion. Literally everything I've seen from PortAvaWaBro and #HogwartsLegacy has looked way more fun, detailed, expansive and promising. I'm gonna enjoy both. But HL was definitely NOT scared of GOWR. Feel free to post funny memes though."
79,JaredMayes3,"RT @Farore5: “I have a crush on every God of War!”
🏹🏹🏹🏹  🏹🏹🏹🏹🏹🏹 https://t.co/zLMaFaEreg"
80,Canc3ll4,"@im_polarizado Realmente.
Muda a cor do Goku de Dragon Ball.
Ou do Kratos de God Of War.
Ou do Gunball de Incrível Mundo De Gumball.
Ou da branca de neve.
Qualquer personagem conhecido com uma aparência diferente da original fica estranho.
Militância chata da porra"
81,kahlan_v,"Chismesito y God of War. ¿Qué estás esperando?😈
👇👇👇
https://t.co/aP8ArvU1sw"
82,Rich_Bobbe,@killakow I started God of War. #BranchingOut
83,SolidSn51607941,@Jake_Randall_YT Do you think the god of war controller will go back up ?
84,TheDarkDevil_,RT @DotPone: God of War https://t.co/b5tL4TqDSf
85,L_Sgfrd,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
86,respawnador,"@Nightt67 Essa é aquela tal síndrome de chamar jogos old de ruins? Imagino que quando sair um possível Uncharted 5, provavelmente você dirá que é a melhor saga de todas.

Aconteceu com God Of War antes de 2018, diziam que estava chato e ninguém queria uma sequência, mas ora, vejam só... https://t.co/ZwGCGbovXt"
87,sperlock222,"RT @sperlock222: EXTREME TRUTHS TRAVEL INFINITLY CLOSE TO,AND YET REMAIN  INFINITLY DISTANT FROM THE EVILS OF WAR!!! ""EXTREME TRUTHS ARE LI…"
88,L_Sgfrd,RT @DotPone: God of War https://t.co/b5tL4TqDSf
89,PowerBImc,"@DrPaulGosar @aznvyr @RealMarkFinchem @DebbieLesko @azaustinsmith Many believe you should be jailed.  Maybe evidence will surface.?  What kind of leader propagates war against any citizen of our country?  I much disagree with your opinions and actions, but I don’t wish you physical harm.  I only wish God would fix your brain, if able to."
90,samiiiiiuyk,"odeio nerdola, mas quando ele fala sobre god of war 🥰🥰🥰🥰🥰"
91,ManuBha11896800,"RT @ChinarcorpsIA: “𝐁𝐥𝐨𝐨𝐝, 𝐆𝐮𝐭𝐬 &amp; 𝐆𝐥𝐨𝐫𝐲”

A toast to all the Gunners, to their fighting spirit &amp; their Guns.
Saluting the “God of War”.
Wis…"
92,ArnoldOrsia,"""The Invincible God of War"" is an absolutely perfect comic! It's living rent free in my head!
 
#Mystery #mangacommunity #artist

https://t.co/Qq3F1jYye4 https://t.co/yYAMng34aa"
93,ElGatoJedi1991,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
94,saint_ck,"@NickOfTimeGames Yep! I thought God of War was just hyped up from fans. It ranks among the best games I've ever played, and one of my favorites so far"
95,Agustin09759520,"RT @dannk__1: Solo necesito 2 cosas para ser feliz, alguien q me abrace y me haga mimitos en el pelo y el nuevo god of war ragnarok, y una…"
96,Zombie_Upriser,Yea and God of War is coming to Google Stadia and Amazon Luna https://t.co/lPoR1qFJ3Z
97,rendimood,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
98,Zack_smith321,"@IronPineapple_ That should change in the next coming year. God of war ragnarok, callisto protocol, dead space remake, final fantasy 16, forspoken, lords of the fallen, resident evil 4 remake"
99,sephirothdav,"RT @LevelUPcom: ¿SE ATREVERÁN? 😱 Fans quieren que Jesucristo y el cristianismo sean introducidos en #GodOfWar

https://t.co/BtIiom2KmF"
100,bsd6CMbBWPH6sxD,"RT @PlayStation_jp: PS5™/PS4®『ゴッド・オブ・ウォー ラグナロク』が2022年11月9日(水)に発売！ 
真実を求めてクレイトスとアトレウスと共に北欧神話の壮大な冒険へ。新たな神々や怪物に立ち向かい、美しき九界を巡れ。
https://t.co/NX…"
101,Coben__,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
102,suguruzito,to acreditando fielmente que god of war vai ser igual ou melhor que the last of us II
103,DavidCBismarck,"@LizGT9 @adamfare1996 My biggest problem was the idea that Jesus died to save us but God kept sending pestilence and war and famine. If he was a loving God, why did so many have to suffer? Part of that was my own suffering with bullying, emotional abuse, and autism as a child. I understand your POV."
104,GrandmasterSP,"@bemoldemarmol En este caso SI hay que jugar al primero para jugar al segundo, es como jugar God Of War Raganarok, sin haber jugado el anterior."
105,Luisosgo,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
106,gabbi_almeidaf,God of War III se resume em matar deuses
107,yemiAlemey,"RT @RealHauleGluck: I am a plain ordinary human in the service of other humans: Jesus Christ called us to ‘serve’, you cannot serve both Go…"
108,fightforbusines,"RT @TCMF2: Preorder locked in 

- PS5 | PlayStation | God of War Ragnarok https://t.co/UjBw7EkBWN"
109,Aphrodite_botkr,다시 네게 묻겠다. 크레토스..... 나랑 있을 거지~? #Aphrodite #God_of_War
110,hephaestus_kbot,판도라는 건드리지 마! 크레토스! #Hephaestus #God_of_War
111,ClaudePro3,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
112,guleria_kaushal,"RT @ChinarcorpsIA: “𝐁𝐥𝐨𝐨𝐝, 𝐆𝐮𝐭𝐬 &amp; 𝐆𝐥𝐨𝐫𝐲”

A toast to all the Gunners, to their fighting spirit &amp; their Guns.
Saluting the “God of War”.
Wis…"
113,shyscarps,"god of war 3

sempre bom voltar"
114,Eiddoll,@NVIDIAGeForce @Palit_Global MW2 and God of War PC would play real fine https://t.co/oHVklHbNjL
115,spacegeek_,"God Of War Ragnarok.

#godofwarragnarok https://t.co/CckZI9lAEX"
116,XatakaMexico,Ubisoft retrasaría la navidad si pudiera. https://t.co/XcSu47YWJx
117,Hera_kbot,이들을 살리기 위해 난 온갖 힘을 썼단 말이야. #Hera #God_of_War
118,jscalita,RT @GameSpot: Limited-edition God of War PS5 controller is available to preorder https://t.co/Ep8yFL3Ki2 https://t.co/PmMFYbnSdw
119,Retweelgend,"RT @soulart18: God of war time!!!! Pull up y’all ❤️🙌🏾
#twitchaffiliate 
#smallstreamers 
https://t.co/DdqHbkyKuc"
120,scieliel,Mercado é muito god of war
121,picashotapp,"RT @RenanVP_Alt: God Of War - Road to Ragnarök
#GodofWar #GodofWarRagnarok #VGPWednesday https://t.co/pWEefEiJwl"
122,marcthedog24,@IronPineapple_ God of War Ragnarok is just 2 months away sooo yah
123,soulart18,"God of war time!!!! Pull up y’all ❤️🙌🏾
#twitchaffiliate 
#smallstreamers 
https://t.co/DdqHbkyKuc"
124,PlusUltra02,@ElonsButler @Twitch30k God Of War
125,illdispens3r,"RT @PlayStation: Will Kratos and Atreus be bound by fate, or take control of their destiny? Watch the new God of War Ragnarök story trailer…"
126,Maycon40519191,"@tiradodobau God of War, mas tbm tem Black, Shadow of The Colossus, NFS Monst Wanted, Crash(quase todas as versões do Ps2), cara que época boa."
127,LGlobalcitizen,"@NinaByzantina This time, it is different. The blowback would not be limited to the battlefield. 

Don’t be under any illusion, if ppl can take nuclear war like PS4 game with the idea that they can win, my god we are so screwed. 

Cost of tolerating stupidity In society and political class"
128,quantumleapPS4,@Switchtosml @yo @OrdinaryGamers Mike is the true God of War.
129,Abhishek07081,"RT @M0IZKHANN: @TheGTABase tbh this isn't even a debate. GTA 5 isn't even the best of GTAs story-wise, what makes it special is online. On…"
130,gvobigdri,God of War Gameplay Ep 6:Our First Boss! https://t.co/dR8MALbBFs via @YouTube
131,TherealestWolfe,@NVIDIAGeForce @Palit_Global God of War baby!
132,Demon666J,"RT @MysticRyan: Watching everyone replay various God of War games ahead of Ragnaröks release just to see everyone say ""Yeah this still hits…"
133,BenDoll32252933,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
134,nemityadav1,"RT @ChinarcorpsIA: “𝐁𝐥𝐨𝐨𝐝, 𝐆𝐮𝐭𝐬 &amp; 𝐆𝐥𝐨𝐫𝐲”

A toast to all the Gunners, to their fighting spirit &amp; their Guns.
Saluting the “God of War”.
Wis…"
135,SouthlakeIndep1,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
136,RigouLopez,"RT @LevelUPcom: ¿SE ATREVERÁN? 😱 Fans quieren que Jesucristo y el cristianismo sean introducidos en #GodOfWar

https://t.co/BtIiom2KmF"
137,eliaxzzz,@Redsfusion yo en god of war
138,SBTonline,"RT @SBT_Games: Cleitão sem concorrência?

O jogo de piratas da Ubisoft não irá competir com God of War Ragnarök

➡️https://t.co/TFvv0qKxVI…"
139,RobbieZiddee,@NicolaWillisMP The world  is experiencing the things you have mentioned. Such things happen in a pandemic. Or war! It's inevitable but by God most of us are alive. I dread to think how many people would have died if you and Luxon had been heading up the country.
140,Feyki9,"Estou vendendo god of war, homem aranha + o The wicher 3, 150$ tudo, chama dm com número do wpp"
141,gapper122,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
142,HumstonShelly,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
143,nyamimir,arttt3mis_ played God of War (PS4) in the last 24 hours https://t.co/fINhd0SU7v #exophase
144,Reno8204,@yosp If I pre ordered God of War and Hogwarts will I get points towards them? I am currently a ps plus member as well
145,GamingTimeC,"Mitch White #dreamspace #AEWDynamite

#gaming #Gameplay #MarvelsSpiderMan
MARVEL'S Spider-Man PC: God of War Kratos Mod Gameplay | 4K
.
.
.
WATCH: https://t.co/nMHaOI7zHZ"
146,Esop_off,"RT @Kiwii69100: 🎁 #CONCOURS 🎁 #GRATUIT 🎁

TENTEZ DE GAGNER 
🌟 GOD OF WAR RAGNÄROK 🌟 SUR PlayStation 5 #CADEAU !!

Pour participer RT &amp; FOLL…"
147,Quantum1324,@DonutOperator God of war
148,BackWoodsPlayer,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
149,dapperdanman92,We out here grinding through God of War in preparation for Ragnarok come say hello https://t.co/lEL2EHjou8 #twitch #smallstreamers
150,kingdom_finder,"RT @KowabungaKody: When you’re not feeling the best so you spend your day cleaning up God of War (2018) Trophies. 

#GodofWar #PS5 @corybar…"
