,User,Tweet
195,_truthswordsa,"@smurfy1099 @WooWooSpaceJew @DarkCowboyGod @wiguy45 @PatricktheB @D1scoJerrys @Avic_Wins @Melanie33720945 @pray2pesci @remofjacob @The_Real_BiM @zypisfy @Canna420Uk @OnkelFester @willsworldview @_DenizenX @thorinajarooft @megafant1 @Ihonestlydont19 @KelvinLMorrison @dirk_fasshauer @hubie0 @Wolfpak561 @orna_verum @War_Artificer @Panimu @MucusMucous @kevin_witchell @JH747474 @AndrewRChapman @MindfulDamage @Raven4212 @StillDizzy2 @DementedHuman @RossGilroy @A_Damned_smith @BloodRedEye1 @1pckt @AwayFromTheKeys @BrianNazarenus @Mikethewander1 @OnlyaMoment3 @HaircutSpock @TRej2011 @ChrisHildabrant @ax2n38 @xxschlitzmaltxx @twisted_pies @PraiseHisName5O @Guy_JustaGuy3 I know, a fraud. Jesus is the Son of God. Jesus is God."
196,Mikelo972,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
197,5Hanser,RT @RominaTempest: Excited to share my portrait of the Heroes of Midgard for the God of War Ragnarök Family Portrait series! Created in col…
198,Buira5,Me pasé todo el god of war sin saber que era un L3 https://t.co/b7Feo2cY4c
199,edyenlacocina,Voy a platinar God Of War aunque me tarde 6 meses 😡
200,tufong57,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
201,MysticMsa3d,"RT @MysticMsa3d: Good luck to all PlayStation fans who are playing God of War  Ragnarok on a PS4 instead of a PS5.
https://t.co/BNJQTgK3tM"
202,Ellie_Snake,"RT @MysticRyan: Watching everyone replay various God of War games ahead of Ragnaröks release just to see everyone say ""Yeah this still hits…"
203,ea_bad_bot,Fact:  God of War (2018) is saving the industry
204,MysticMsa3d,"These days I don't care.

Used to worry in 2018 because it was a big change for the God of War franchise + I wanted it to be good.

But playing the game is what matters.
All Ragnarok needs to do is be better than 2018 GoW. https://t.co/Fj8De7tOS1"
205,VelmaMoseley1,"Also been praying since the start of the war that God will speak to the world leaders especially ours in US that God will cause them to supply all the help Ukraine needs to protect itself, fight back &amp; win the war. So far God has been answering that prayers just like today $1.1 B"
206,MrStarTipper,Playing Part 4 of my God of War playthrough THIS SATURDAY (10/1/22) at 9:30AM CST in prep for Ragnarök!! Time to explore with Mr. Decapitated Head! https://t.co/rvqE5dZF40 #ps5 #ps4 #playstation #playstation5 #godofwar #GodofWarRagnarok #kratos #gamers #gamer #games #Ragnarok https://t.co/nvoySdw2zl
207,PlaystationMami,"@Videlsports Yes*!

*Until God of War drops then I'm doing a juggling act 😅

*I also need them to drop more Collector Editions since Amazon though it would be funny to cancel my pre-order 😤 https://t.co/mileb8oxvq"
208,GamersGamutYT,"Finally replaying God of War again. There wasn't even a photo mode the last I played it. I forgot just how good this game is. #VGPUnite #PlayStation #PS5 #PS5Share, #GodofWar #GodOfWarRagnarok https://t.co/1Z6BeO0mLd"
209,CH_cedric_,"RT @TCMF2: Preorder locked in 

- PS5 | PlayStation | God of War Ragnarok https://t.co/UjBw7EkBWN"
210,brokemyninja,@SixStringHeroX @not_rumble @_gaming1 @M047xsx7 The same guy that deleted and reposted the same Starfield vs God of War Ragnarok poll 3 or 4 times. Last one went private to get only his Xbox friends to vote then opened his profile back up saying he finally got a legit winner. Something close enough to a stolen election 🤣😂
211,FoophaD,@IronPineapple_ Same god of war and Bloodborne 🤣
212,jimjudistar,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
213,ImJimbo1996,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
214,Loathingsoul,"@corybarlog random question I had while replaying God Of War in prep for Ragnarok, is it canon that Kratos &amp; Atreus did everything? (100% the game)"
215,Jaxonisgay,@knyune Time to cop the god of war one /j
216,mujaya_,"There is a war to be fought, regardless of your side, devil or God (you’re fighting both, simultaneously. The devil is God and so are you. God fighting God, Israel, “struggles with God”). So why engage in self-flagellation instead of fighting? You are going to suffer either way."
217,Athena_kbot,이해가 안되는 거야? #Athena #God_of_War
218,Helios_kbot,날 좀 살려줘. #Helios #God_of_War
219,Gaia_kbot,하나의 전설이 그들과 어깨를 견주고자 나타났다. #Gaia #God_of_War
220,slademoore0824,Check out my broadcast from my PlayStation 4! #PS4live (God of War)  live at https://t.co/OIV7uNnsvu
221,Ares_kbot,내 명령에 복종했어야 했다. 크레토스! #Ares #God_of_War
222,turokorb25,"@SMGxPrincessirl If twisted metal black/DefJam fight for NY 
But I'd buy God of War and pre order Ragnarok"
223,MaD_2607,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
224,JamesMac064,RT @copesint: Oh no oh my god we’re going to have to go to war with our ally Germany oh god oh fuck I’ve heard legends of how well the Bund…
225,TheMonsterBott,@NVIDIAGeForce @Palit_Global GOD OF WAR DUHHHHH
226,Ilyas4ML,"It's the exact thing in God Of War. But Kratos was a better character, and he offed that mf's neck 😭 https://t.co/rxSMlIYDKW"
227,Vigilo,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
228,izzyswhitesock,"RT @KinleysWRLD: WE ARE THE GOD OF WAR 

https://t.co/ehNK2Jnizw

https://t.co/ehNK2Jnizw

https://t.co/ehNK2Jnizw https://t.co/tb3gUTVomx"
229,KinleysWRLD,"WE ARE THE GOD OF WAR 

https://t.co/ehNK2Jnizw

https://t.co/ehNK2Jnizw

https://t.co/ehNK2Jnizw https://t.co/tb3gUTVomx"
230,iceman_turner,"@LaixoLai ""Do not be sorry be better""-Kratos God of war (2018)"
231,TrmHunh24012k,God of War 4 (2018) PC Download + Full Game for Free [UPDATED 2022] https://t.co/dtGOZPIAGC via @YouTube
232,fabregaspastore,"@PMS_Jordan It's on the Nvidia Leak, that's confirmation from the start cause that leak doesn't miss. God of War, Sackboy, GT7, Ghost and HFW were also on the list."
233,dannk__1,"Solo necesito 2 cosas para ser feliz, alguien q me abrace y me haga mimitos en el pelo y el nuevo god of war ragnarok, y una de esas 2 cosas ya tengo aseguradas"
234,JaredMayes3,"RT @TCMF2: Preorder locked in 

- PS5 | PlayStation | God of War Ragnarok https://t.co/UjBw7EkBWN"
235,DaAlcantaraVin,"RT @ItzVarun_____: God Of War Wallpaper! ⚡

#GodofWarRagnarok 
#GodOfWar #PlayStation5 https://t.co/qojhsqpgbY"
236,csaltz7777,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
237,DitullioMary,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
238,GaggedSasuke,"RT @Farore5: “I have a crush on every God of War!”
🏹🏹🏹🏹  🏹🏹🏹🏹🏹🏹 https://t.co/zLMaFaEreg"
239,steddiflo1,"RT @MysticRyan: Watching everyone replay various God of War games ahead of Ragnaröks release just to see everyone say ""Yeah this still hits…"
240,RoshadLamar,Playing through God of War PS4 for the first time. Gameplay upload coming tomorrow most likely. Road to Ragnarok.
241,gaurav_jagad,RT @ayushsi8679: @cogitoiam Just see the number of likes under pfi's tweets..my god ...kitne baithe is desh me jo border par kam karte he .…
242,TrustyPatches9,@sketchxanax You should've heard the original plan for the god of war series its fucking goofy
243,EliasSantos89,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
244,Musical1250,"@ztlaidlaw There’s loads of games that I have bought on Steam/Epic that my PC could never run, purely just to play in GeForce Now, most recently being God of War.

Hopefully in time more developers/publishers will get on board!"
245,WallWatchmanRC,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
246,jerome49514801,"RT @Kiwii69100: 🎁 #CONCOURS 🎁 #GRATUIT 🎁

TENTEZ DE GAGNER 
🌟 GOD OF WAR RAGNÄROK 🌟 SUR PlayStation 5 #CADEAU !!

Pour participer RT &amp; FOLL…"
247,UZZIBADMEN,"@PritskasG Super το επισόδειο!

Τίτλοι για part 2
GTA
Need for speed
Dark Souls
Warcraft
Diablo
Metal Gear
God of war
Fallout
Bioschock
Tony Hawk
Gears of war 
Castlevania
Mass effect"
248,HiimSteve20,@WitcherPixel God of war
249,Ditaeon,"https://t.co/fNlBobKXPp

God of War (PC)

Second phase to my Fist only Boss Fight

#GodofWar , #BossFight , #Baldur , #PhaseTwo , #NewGame+ , #fyp"
250,moereese77,"The God of War drinking game.
Everytime Kratos says boy, take a shot. You'll be drunk in the first 30 minutes of the game."
251,cwharris773,RT @Rich091385Kelly: What in The War Of Worlds! My god!
252,DaAlcantaraVin,"RT @ossamaphotomode: 43 Days Left for 
God of War Ragnarok https://t.co/1fP0DzF1Xs"
253,Dice_79,"@J0KER218 @dm_ragnarok @JotaplayPS @BendStudio pues yo no he visto que digan que se cancela hasta nuevo aviso, ni tampoco que ha vendido lo mismo que GoT, lo que si vi en el reporte financiero de sony es que days gone vendió en pc lo mismo que god of war, solo que days gone ya llevaba 1 año y medio y gow en menos de 6 meses"
254,whakabudu,"@WesNemo 
To play the blew Spider-Man I need to win this giveaway for the ps5, and the game would be God of war ragnarok. My PSN used to be KRATOS_7051 so I got to go with my all time favourite game series https://t.co/BcSZbexXqS"
255,TheSypherSin,"RT @Lule781: ""The Invincible God of War"" is an absolutely perfect comic! It's living rent free in my head!

#ameart #lookism #anime
 https:…"
256,happyadrian_,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
257,jeonteku,yo hace un mes jugando god of war con mi hermano https://t.co/6Pwz4qr5ng
258,Zee66294943,@NVIDIAGeForce @Palit_Global Dota 2 and god of war
259,Ditaeon,"God of War (PC)

Train wrecking two Werewolves

No chance for them to retaliate. LOL.

#GodofWar , #FlawlessFight , #WereWolf , #NewGame+ , #slices , #fyp https://t.co/rW7Fz14lBA"
260,Gabriel34220545,RT @Gabriel34220545: Ukraine's Zelenskyy says Russian government doesn't care who dies in war https://t.co/Qq46k5VKio God bless freedom and…
261,Gabriel34220545,"Ukraine's Zelenskyy says Russian government doesn't care who dies in war https://t.co/Qq46k5VKio God bless freedom and truth and love and understanding and peace, for Ukraine &amp; Russia, Yemen, Myanmar, Afghanistan &amp; all places + souls, God bless being free of all oppressors, amen."
262,MandoJedi05,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
263,taldomuller,"Jogar god of war, hj zero essa porra"
264,BaysingerTodd,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
265,buroli68,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
266,SipkeStorm,"@ElementHope @AGwraig @AmericanAtheist Oh please, your the Canaanite war god Yahweh was a murderous sack of shit, just like plenty of those that follow him. You want to pretend the inquisitions never happened?"
267,Cris_Unter,Sinceramente lo único que le pido a God Of War Ragnarok es que su Gameplay sea mejor que el del anterior porque en historia lo veo muy complicado de superar. https://t.co/FOP35Lxq1B
268,drakkmonster,On est live avec plus de God of war 3 ZEUUUSSSSSSS!!!!! https://t.co/NhKFwMfbhJ
269,ACarolinneUS5,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
270,ToddDoty8,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
271,2gether_prem,"RT @TCMF2: Preorder locked in 

- PS5 | PlayStation | God of War Ragnarok https://t.co/UjBw7EkBWN"
272,AchillesWG,"@SupportingStre3 Watched Troy, and have liked Ares the God of War for as long as I can remember"
273,JackitalJi,@NVIDIAGeForce @Palit_Global God of war
274,TheFarleyDance,"RT @TCMF2: Preorder locked in 

- PS5 | PlayStation | God of War Ragnarok https://t.co/UjBw7EkBWN"
275,oortiz__,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
276,SatishK01118315,"RT @ChinarcorpsIA: “𝐁𝐥𝐨𝐨𝐝, 𝐆𝐮𝐭𝐬 &amp; 𝐆𝐥𝐨𝐫𝐲”

A toast to all the Gunners, to their fighting spirit &amp; their Guns.
Saluting the “God of War”.
Wis…"
277,Zriew_,"@SMGxPrincessirl SF6 beta, or the new god of war"
278,SourdifJ,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
279,AbeFrom66194315,@Wario64 Long shot but if you hear of anything regarding pre-orders coming back up for God of War Jotnor edition I'd appreciate a tag. Understand if you can't/won't. Appreciate you and what you do. Cheers! 🙂
280,spartandrengr,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
281,LonghairTatum,"RT @SnapsCube: god of war soon :)

but be warned

the stream will be Sleepy"
282,scarecrow443,"RT @theJOSHfeedYT: GOD OF WAR ON GIVE ME GOD OF WAR DIFFICULTY IS COMPLETE! Including all Valkyries. I feel accomplished after that!

I'll…"
283,YR2TO,RT @HeavenlyControl: This God of War Ragnarok trailer go me so hyped 😩 https://t.co/O223xxv8XL
284,theJOSHfeedYT,"GOD OF WAR ON GIVE ME GOD OF WAR DIFFICULTY IS COMPLETE! Including all Valkyries. I feel accomplished after that!

I'll be back in a couple days. In the meantime, parts 7 &amp; 8 of Valkyrie Elysium are live for you. Leave your love on them for me!Links in the tweet below!"
285,Almi97844688,"RT @RealHauleGluck: I am a plain ordinary human in the service of other humans: Jesus Christ called us to ‘serve’, you cannot serve both Go…"
286,Dess1823,"@Belgium4T 😲 how can you say that when XC3 exists as a contender? That game was pure kino. I havent played ER yet, but I'm sure that game was fire too. Crazy how some people think it will be God of War, more like Mid of War."
287,Flxxckstarkid4,Check out my broadcast PU$$Y (God of War) Mxsterflaacko on all platforms!!!!! live at https://t.co/P63OsG3n47
288,hayleyhitshare,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
289,ComicsKade,@WoahEmil God of war
290,_JanusMichaelz_,@NVIDIAGeForce @Palit_Global God of war / spiderman
291,MysticMsa3d,"I wish every God of War game pre 2018 was accessible normally on PS5 &amp; not via streaming.
Only God of War 3 can be played normally. https://t.co/jAeEr5PLaV"
292,BickleKun,"@HookLineVG Let me break it down for you. PlayStation pony is considered “real games” to be god of war style heavily narrative cinematic games. If you don’t have those by the score even though you have things that sell better, they aren’t real games"
293,UkiDuke,"RT @Arianna_327: Meme WISH from Discord birbs 

The way that God of War propose😂

#Ennead #엔네아드 https://t.co/z54el2NwoB"
294,_Jei_Albert_,¡Mira la transmisión de mi PlayStation 4! #PS4live (God of War)  live at https://t.co/W4fnBnaiIW
295,NivethaFanTrend,"RT @ItzVarun_____: Kratos | God of War 

#GodofWarRagnarok 
#GodOfWar #Playstation5 https://t.co/G7X0HE7SJ5"
296,SM_Wolmarans,"RT @ApostleEric: New Breed of Christian https://t.co/lgro9fTLSU
2Sam.3:1 was long war between the house of Saul &amp; the house of David🤔
👉both…"
297,NunesRengoku,"@LeonLabs PERA AE N CHAME ELA.
Mas falando nela... Pq a Clotho existe? Isso aq n é god of war"
298,Leclercjeremy45,"RT @Kiwii69100: 🎁 #CONCOURS 🎁 #GRATUIT 🎁

TENTEZ DE GAGNER 
🌟 GOD OF WAR RAGNÄROK 🌟 SUR PlayStation 5 #CADEAU !!

Pour participer RT &amp; FOLL…"
299,Vinniemack23,"@SMGxPrincessirl Ima get it for God of War Ragnarok. Then play some of the previous released exclusives. Forbidden west, ghost of tushima. M"
